,name,start_rec_s,fin_rec_ms,dur_whole
58,sine_bass_thought_1588894539172_trial_59.csv,1588894536.1279948,1588894539172,3.0440051555633545
59,sine_bass_thought_1588894560225_trial_60.csv,1588894557.1678588,1588894560225,3.057141065597534
60,sine_bass_thought_1588894571392_trial_61.csv,1588894568.3410912,1588894571392,3.0509088039398193
61,sine_bass_thought_1588894582481_trial_62.csv,1588894579.420274,1588894582481,3.0607259273529053
62,sine_bass_thought_1588894603209_trial_63.csv,1588894600.127838,1588894603209,3.081162214279175
63,sine_bass_thought_1588894626773_trial_64.csv,1588894623.7114959,1588894626773,3.0615041255950928
64,sine_bass_thought_1588894682654_trial_65.csv,1588894679.601847,1588894682654,3.0521531105041504
65,sine_bass_thought_1588894700520_trial_66.csv,1588894697.4561,1588894700520,3.0638999938964844
66,sine_bass_thought_1588894725979_trial_67.csv,1588894722.902624,1588894725979,3.07637619972229
67,sine_bass_thought_1588894758144_trial_68.csv,1588894755.071976,1588894758144,3.07202410697937
68,sine_bass_thought_1588894771407_trial_69.csv,1588894768.397723,1588894771407,3.009277105331421
69,sine_bass_thought_1588894784199_trial_70.csv,1588894781.1109812,1588894784199,3.0880186557769775
70,sine_bass_thought_1588894802109_trial_71.csv,1588894799.055671,1588894802109,3.0533289909362793
71,sine_bass_thought_1588894812828_trial_72.csv,1588894809.762835,1588894812828,3.0651650428771973
72,sine_bass_thought_1588894826805_trial_73.csv,1588894823.749748,1588894826805,3.0552520751953125
73,sine_bass_thought_1588894842169_trial_74.csv,1588894839.11095,1588894842169,3.0580499172210693
74,sine_bass_thought_1588894852949_trial_75.csv,1588894849.916081,1588894852949,3.032918930053711
75,sine_bass_thought_1588894862937_trial_76.csv,1588894859.859374,1588894862937,3.0776259899139404
76,sine_bass_thought_1588894875254_trial_77.csv,1588894872.216758,1588894875254,3.0372419357299805
77,sine_bass_thought_1588894884978_trial_78.csv,1588894881.924165,1588894884978,3.053834915161133
78,sine_bass_thought_1588894903663_trial_79.csv,1588894900.598767,1588894903663,3.0642330646514893
79,sine_bass_thought_1588894917444_trial_80.csv,1588894914.392836,1588894917444,3.051163911819458
80,sine_bass_thought_1588894929600_trial_81.csv,1588894926.5219991,1588894929600,3.078000783920288
81,sine_bass_thought_1588894943363_trial_82.csv,1588894940.287376,1588894943363,3.0756239891052246
82,sine_bass_thought_1588894960935_trial_83.csv,1588894957.909451,1588894960935,3.0255489349365234
83,sine_bass_thought_1588894982544_trial_84.csv,1588894979.50069,1588894982544,3.0433099269866943
84,sine_bass_thought_1588894995977_trial_85.csv,1588894992.9113011,1588894995977,3.0656988620758057
85,sine_bass_thought_1588895014413_trial_86.csv,1588895011.35838,1588895014413,3.0546200275421143
86,sine_bass_thought_1588895026517_trial_87.csv,1588895023.500431,1588895026517,3.016568899154663
87,sine_bass_thought_1588895047556_trial_88.csv,1588895044.5058382,1588895047556,3.050161838531494
88,sine_bass_thought_1588895063643_trial_89.csv,1588895060.602134,1588895063643,3.040865898132324
89,sine_bass_thought_1588895078510_trial_90.csv,1588895075.429726,1588895078510,3.0802741050720215
90,sine_bass_thought_1588895089192_trial_91.csv,1588895086.153335,1588895089192,3.0386648178100586
91,sine_bass_thought_1588895098577_trial_92.csv,1588895095.523597,1588895098577,3.053402900695801
92,sine_bass_thought_1588895108241_trial_93.csv,1588895105.231872,1588895108241,3.0091278553009033
93,sine_bass_thought_1588895118026_trial_94.csv,1588895114.975749,1588895118026,3.050251007080078
94,sine_bass_thought_1588895134698_trial_95.csv,1588895131.6598551,1588895134698,3.038144826889038
95,sine_bass_thought_1588895144644_trial_96.csv,1588895141.603595,1588895144644,3.040405035018921
96,sine_bass_thought_1588895158415_trial_97.csv,1588895155.3501902,1588895158415,3.064809799194336
97,sine_bass_thought_1588895182425_trial_98.csv,1588895179.382571,1588895182425,3.042428970336914
98,sine_bass_thought_1588895196163_trial_99.csv,1588895193.0841029,1588895196163,3.07889723777771
99,sine_bass_thought_1588895206847_trial_100.csv,1588895203.795022,1588895206847,3.0519778728485107
100,sine_bass_thought_1588895223767_trial_101.csv,1588895220.680843,1588895223767,3.0861568450927734
101,sine_bass_thought_1588895233527_trial_102.csv,1588895230.432984,1588895233527,3.0940158367156982
102,sine_bass_thought_1588895243220_trial_103.csv,1588895240.130595,1588895243220,3.089405059814453
103,sine_bass_thought_1588895254175_trial_104.csv,1588895251.11056,1588895254175,3.0644400119781494
104,sine_bass_thought_1588895264447_trial_105.csv,1588895261.406544,1588895264447,3.0404560565948486
105,sine_bass_thought_1588895282687_trial_106.csv,1588895279.608168,1588895282687,3.0788321495056152
106,sine_bass_thought_1588895291404_trial_107.csv,1588895288.361527,1588895291404,3.042473077774048
107,sine_bass_thought_1588895300461_trial_108.csv,1588895297.3846211,1588895300461,3.07637882232666
108,sine_bass_thought_1588895310159_trial_109.csv,1588895307.0805,1588895310159,3.0785000324249268
109,sine_bass_thought_1588895320979_trial_110.csv,1588895317.936308,1588895320979,3.042692184448242
110,sine_bass_thought_1588895339958_trial_111.csv,1588895336.8944252,1588895339958,3.06357479095459
111,sine_bass_thought_1588895350274_trial_112.csv,1588895347.244268,1588895350274,3.0297319889068604
112,sine_bass_thought_1588895365757_trial_113.csv,1588895362.673693,1588895365757,3.0833070278167725
113,sine_bass_thought_1588895379761_trial_114.csv,1588895376.7080698,1588895379761,3.0529301166534424
114,sine_bass_thought_1588895389383_trial_115.csv,1588895386.327884,1588895389383,3.0551159381866455
115,sine_bass_thought_1588895399878_trial_116.csv,1588895396.7897651,1588895399878,3.0882349014282227
116,sine_bass_thought_1588895416042_trial_117.csv,1588895412.967263,1588895416042,3.074737071990967
117,sine_bass_thought_1588895430286_trial_118.csv,1588895427.233841,1588895430286,3.052159070968628
118,sine_bass_thought_1588895442143_trial_119.csv,1588895439.079338,1588895442143,3.063661813735962
119,sine_bass_thought_1588895457343_trial_120.csv,1588895454.288033,1588895457343,3.054966926574707
120,sine_bass_thought_1588895476431_trial_121.csv,1588895473.371304,1588895476431,3.0596959590911865
121,sine_bass_thought_1588895486243_trial_122.csv,1588895483.1790888,1588895486243,3.063911199569702
122,sine_bass_thought_1588895495861_trial_123.csv,1588895492.797201,1588895495861,3.0637991428375244
123,sine_bass_thought_1588895538806_trial_124.csv,1588895535.7522829,1588895538806,3.0537171363830566
124,sine_bass_thought_1588895589733_trial_125.csv,1588895586.6705122,1588895589733,3.062487840652466
125,sine_bass_thought_1588895602583_trial_126.csv,1588895599.516939,1588895602583,3.066061019897461
126,sine_bass_thought_1588895611491_trial_127.csv,1588895608.448554,1588895611491,3.0424458980560303
127,sine_bass_thought_1588895620582_trial_128.csv,1588895617.540252,1588895620582,3.041748046875
128,sine_bass_thought_1588895631844_trial_129.csv,1588895628.75624,1588895631844,3.0877602100372314
129,sine_bass_thought_1588895643080_trial_130.csv,1588895640.0111701,1588895643080,3.0688297748565674
130,sine_bass_thought_1588895653484_trial_131.csv,1588895650.426263,1588895653484,3.057736873626709
131,sine_bass_thought_1588895663703_trial_132.csv,1588895660.6402829,1588895663703,3.0627171993255615
132,sine_bass_thought_1588895676417_trial_133.csv,1588895673.3505049,1588895676417,3.066495180130005
133,sine_bass_thought_1588895685685_trial_134.csv,1588895682.6228878,1588895685685,3.0621120929718018
134,sine_bass_thought_1588895695079_trial_135.csv,1588895692.027227,1588895695079,3.0517730712890625
135,sine_bass_thought_1588895705046_trial_136.csv,1588895702.006068,1588895705046,3.0399320125579834
136,sine_bass_thought_1588895716072_trial_137.csv,1588895713.0075111,1588895716072,3.0644888877868652
137,sine_bass_thought_1588895727504_trial_138.csv,1588895724.436386,1588895727504,3.0676138401031494
138,sine_bass_thought_1588895741297_trial_139.csv,1588895738.233995,1588895741297,3.063004970550537
139,sine_bass_thought_1588895756437_trial_140.csv,1588895753.396794,1588895756437,3.040205955505371
140,sine_bass_thought_1588895766134_trial_141.csv,1588895763.0585139,1588895766134,3.075486183166504
141,sine_bass_thought_1588895777460_trial_142.csv,1588895774.3741481,1588895777460,3.0858519077301025
142,sine_bass_thought_1588895787330_trial_143.csv,1588895784.265426,1588895787330,3.0645740032196045
143,sine_bass_thought_1588895800121_trial_144.csv,1588895797.0801148,1588895800121,3.0408852100372314
144,sine_bass_thought_1588895810937_trial_145.csv,1588895810.915709,1588895810937,0.021291017532348633
145,sine_bass_thought_1588895824042_trial_146.csv,1588895820.972718,1588895824042,3.069282054901123
146,sine_bass_thought_1588895832802_trial_147.csv,1588895829.739049,1588895832802,3.06295108795166
147,sine_bass_thought_1588895842917_trial_148.csv,1588895839.863852,1588895842917,3.053148031234741
148,sine_bass_thought_1588895852861_trial_149.csv,1588895849.8100789,1588895852861,3.0509212017059326
149,sine_bass_thought_1588895861952_trial_150.csv,1588895858.897323,1588895861952,3.0546770095825195
150,sine_bass_thought_1588895871694_trial_151.csv,1588895868.6535501,1588895871694,3.040449857711792
151,sine_bass_thought_1588895881316_trial_152.csv,1588895878.274146,1588895881316,3.041853904724121
152,sine_bass_thought_1588895894034_trial_153.csv,1588895890.96269,1588895894034,3.071309804916382
153,sine_bass_thought_1588895902646_trial_154.csv,1588895899.590639,1588895902646,3.055360794067383
154,sine_bass_thought_1588895911823_trial_155.csv,1588895908.7483578,1588895911823,3.0746421813964844
155,sine_bass_thought_1588895925190_trial_156.csv,1588895922.139688,1588895925190,3.050312042236328
156,sine_bass_thought_1588895934932_trial_157.csv,1588895931.881213,1588895934932,3.0507869720458984
157,sine_bass_thought_1588895948412_trial_158.csv,1588895945.401964,1588895948412,3.010035991668701
158,sine_bass_thought_1588895958422_trial_159.csv,1588895955.380445,1588895958422,3.0415549278259277
159,sine_bass_thought_1588895973117_trial_160.csv,1588895970.027735,1588895973117,3.0892651081085205
160,sine_bass_thought_1588895982048_trial_161.csv,1588895978.974134,1588895982048,3.073866128921509
161,sine_bass_thought_1588895994951_trial_162.csv,1588895991.866391,1588895994951,3.084609031677246
162,sine_bass_thought_1588896008722_trial_163.csv,1588896005.659318,1588896008722,3.0626819133758545
163,sine_bass_thought_1588896019469_trial_164.csv,1588896016.401471,1588896019469,3.0675292015075684
164,sine_bass_thought_1588896028974_trial_165.csv,1588896025.9174762,1588896028974,3.0565237998962402
165,sine_bass_thought_1588896040312_trial_166.csv,1588896037.259404,1588896040312,3.052596092224121
166,sine_bass_thought_1588896051573_trial_167.csv,1588896048.496951,1588896051573,3.0760488510131836
167,sine_bass_thought_1588896066348_trial_168.csv,1588896063.25657,1588896066348,3.0914299488067627
168,sine_bass_thought_1588896081891_trial_169.csv,1588896078.85317,1588896081891,3.037830114364624
169,sine_bass_thought_1588896097748_trial_170.csv,1588896094.6566231,1588896097748,3.091376781463623
170,sine_bass_thought_1588896107664_trial_171.csv,1588896104.625118,1588896107664,3.03888201713562
171,sine_bass_thought_1588896117149_trial_172.csv,1588896114.0979211,1588896117149,3.0510787963867188
172,sine_bass_thought_1588896127230_trial_173.csv,1588896124.2216918,1588896127230,3.008308172225952
173,sine_bass_thought_1588896139166_trial_174.csv,1588896136.0901198,1588896139166,3.0758800506591797
174,sine_bass_thought_1588896149480_trial_175.csv,1588896146.408834,1588896149480,3.0711660385131836
175,sine_bass_thought_1588896159832_trial_176.csv,1588896156.758394,1588896159832,3.073606014251709
176,sine_bass_thought_1588896175022_trial_177.csv,1588896171.957946,1588896175022,3.064054012298584
177,sine_bass_thought_1588896189735_trial_178.csv,1588896186.672391,1588896189735,3.0626089572906494
178,sine_bass_thought_1588896209706_trial_179.csv,1588896206.663219,1588896209706,3.042781114578247
179,sine_bass_thought_1588896221901_trial_180.csv,1588896218.861126,1588896221901,3.0398740768432617
180,sine_bass_thought_1588896230619_trial_181.csv,1588896227.570221,1588896230619,3.048779010772705
181,sine_bass_thought_1588896239000_trial_182.csv,1588896235.970569,1588896239000,3.029431104660034
182,sine_bass_thought_1588896258745_trial_183.csv,1588896255.667659,1588896258745,3.077340841293335
183,sine_bass_thought_1588896270605_trial_184.csv,1588896267.53952,1588896270605,3.0654799938201904
184,sine_bass_thought_1588896286955_trial_185.csv,1588896283.895044,1588896286955,3.0599558353424072
185,sine_bass_thought_1588896296466_trial_186.csv,1588896293.392707,1588896296466,3.0732929706573486
186,sine_bass_thought_1588896305624_trial_187.csv,1588896302.538757,1588896305624,3.085242986679077
187,sine_bass_thought_1588896318146_trial_188.csv,1588896315.091368,1588896318146,3.0546319484710693
188,sine_bass_thought_1588896331768_trial_189.csv,1588896328.7039518,1588896331768,3.0640480518341064
189,sine_bass_thought_1588896344896_trial_190.csv,1588896341.858369,1588896344896,3.037630796432495
190,sine_bass_thought_1588896356709_trial_191.csv,1588896353.646546,1588896356709,3.0624542236328125
191,sine_bass_thought_1588896366835_trial_192.csv,1588896363.795403,1588896366835,3.0395970344543457
192,sine_bass_thought_1588896380350_trial_193.csv,1588896377.272562,1588896380350,3.0774378776550293
193,sine_bass_thought_1588896392724_trial_194.csv,1588896389.634763,1588896392724,3.0892369747161865
194,sine_bass_thought_1588896441280_trial_195.csv,1588896438.197757,1588896441280,3.082242965698242
195,sine_bass_thought_1588896451405_trial_196.csv,1588896448.337284,1588896451405,3.067715883255005
196,sine_bass_thought_1588896461157_trial_197.csv,1588896458.067915,1588896461157,3.089085102081299
197,sine_bass_thought_1588896470699_trial_198.csv,1588896467.641556,1588896470699,3.057443857192993
198,sine_bass_thought_1588896481394_trial_199.csv,1588896478.3279,1588896481394,3.0661001205444336
199,sine_bass_thought_1588896497618_trial_200.csv,1588896494.541406,1588896497618,3.076594114303589
200,sine_bass_thought_1588896510240_trial_201.csv,1588896507.141081,1588896510240,3.098918914794922
201,sine_bass_thought_1588896519589_trial_202.csv,1588896516.5228102,1588896519589,3.066189765930176
