,name,duration,start_rec_s,start_sound_s,end_sound_s,fin_rec_ms,sound_lag,end_sound_lag,dur_whole,sound_to_fin
0,sine_bass_1588024447019_trial_1.csv,2.0287,1588024440.9893389,1588024443.1702342,1588024445.1989343,1588024447019,2.1808953285217285,4.209595328521729,6.029661178588867,3.8487658500671387
1,sine_bass_1588024462071_trial_2.csv,2.0287,1588024456.054108,1588024458.06529,1588024460.09399,1588024462071,2.0111820697784424,4.039882069778443,6.016892194747925,4.005710124969482
2,sine_bass_1588024483160_trial_3.csv,2.0287,1588024477.128169,1588024479.138768,1588024481.167468,1588024483160,2.01059889793396,4.039298897933961,6.0318310260772705,4.0212321281433105
3,sine_bass_1588024496517_trial_4.csv,2.0287,1588024490.501454,1588024492.512788,1588024494.5414882,1588024496517,2.01133394241333,4.040033942413331,6.015545845031738,4.004211902618408
4,sine_bass_1588024513621_trial_5.csv,2.0287,1588024507.603368,1588024509.6110668,1588024511.639767,1588024513621,2.0076987743377686,4.036398774337769,6.017632007598877,4.009933233261108
5,sine_bass_1588024529439_trial_6.csv,2.0287,1588024523.420852,1588024525.4318101,1588024527.4605103,1588024529439,2.010958194732666,4.039658194732667,6.018147945404053,4.007189750671387
6,sine_bass_1588024545540_trial_7.csv,2.0287,1588024539.52406,1588024541.536309,1588024543.565009,1588024545540,2.012248992919922,4.0409489929199225,6.015939950942993,4.003690958023071
7,sine_bass_1588024559657_trial_8.csv,2.0287,1588024553.627114,1588024555.6392488,1588024557.667949,1588024559657,2.0121347904205322,4.040834790420533,6.02988600730896,4.017751216888428
8,sine_bass_1588024575689_trial_9.csv,2.0287,1588024569.6690738,1588024571.6808782,1588024573.7095783,1588024575689,2.0118043422698975,4.040504342269898,6.019926071166992,4.008121728897095
9,sine_bass_1588024591416_trial_10.csv,2.0287,1588024585.395985,1588024587.406965,1588024589.4356651,1588024591416,2.0109801292419434,4.039680129241944,6.020015001296997,4.009034872055054
10,sine_bass_1588024605337_trial_11.csv,2.0287,1588024599.313706,1588024601.323572,1588024603.352272,1588024605337,2.0098659992218018,4.038565999221802,6.023293972015381,4.013427972793579
11,sine_bass_1588024618641_trial_12.csv,2.0287,1588024612.6252959,1588024614.635529,1588024616.6642292,1588024618641,2.010233163833618,4.038933163833619,6.015704154968262,4.0054709911346436
12,sine_bass_1588024631008_trial_13.csv,2.0287,1588024624.986953,1588024626.997191,1588024629.025891,1588024631008,2.0102379322052,4.038937932205201,6.021046876907349,4.010808944702148
13,sine_bass_1588024654036_trial_14.csv,2.0287,1588024647.9933262,1588024650.0032399,1588024652.03194,1588024654036,2.009913682937622,4.038613682937623,6.042673826217651,4.032760143280029
14,sine_bass_1588024668821_trial_15.csv,2.0287,1588024662.804799,1588024664.8133829,1588024666.842083,1588024668821,2.0085837841033936,4.037283784103394,6.016201019287109,4.007617235183716
15,sine_bass_1588024693305_trial_16.csv,2.0287,1588024687.268729,1588024689.287987,1588024691.316687,1588024693305,2.0192580223083496,4.04795802230835,6.036271095275879,4.017013072967529
16,sine_bass_1588024709821_trial_17.csv,2.0287,1588024703.8054779,1588024705.824934,1588024707.853634,1588024709821,2.019456148147583,4.048156148147584,6.015522241592407,3.996066093444824
