,0
0,1595545993.647784
1,1595546012.908383
2,1595546030.92335
3,1595546037.14926
4,1595546043.374243
5,1595546052.148576
6,1595546061.3748102
7,1595546078.92516
8,1595546094.135185
9,1595546182.8905659
10,1595546188.6519449
11,1595546194.4123561
12,1595546200.127276
13,1595546208.1665149
14,1595546235.9140742
15,1595546238.3916512
16,1595546240.913175
17,1595546254.877661
18,1595546257.63789
19,1595546260.411927
20,1595546263.41176
21,1595546268.662543
22,1595546276.6432111
23,1595546287.638808
24,1595546290.39903
25,1595546293.126729
26,1595546336.388345
27,1595546341.880639
28,1595546360.149697
29,1595546365.865043
30,1595546379.049641
31,1595546385.126058
32,1595546390.630187
33,1595546397.126095
34,1595546403.126314
35,1595546408.8973188
36,1595546431.3871832
37,1595546436.8768241
38,1595546460.637931
