,0
0,1595603384.22217
1,1595603389.2321868
2,1595603393.971651
3,1595603409.72297
4,1595603412.197999
5,1595603414.732638
6,1595603417.219785
7,1595603419.698165
8,1595603422.697946
9,1595603425.232637
10,1595603427.707687
11,1595603430.1979961
12,1595603432.733141
13,1595603436.197171
14,1595603438.7317939
15,1595603444.448409
16,1595603446.981825
17,1595603571.4553862
18,1595603573.721344
19,1595603576.196189
20,1595603578.685355
21,1595603585.946103
22,1595603590.95666
23,1595603595.9329438
24,1595603600.947142
25,1595603605.9566479
26,1595603630.464339
27,1595603635.447988
28,1595603641.208236
29,1595603659.2077172
30,1595603668.20468
