0,1,2,3
-57.6171875,-39.0625,-48.33984375,-116.2109375
-43.45703125,-33.69140625,-47.36328125,-108.8867188
-39.0625,-30.2734375,-45.41015625,-108.3984375
-44.921875,-32.71484375,-40.0390625,-123.5351563
-58.10546875,-33.203125,-37.109375,-131.8359375
-63.96484375,-32.2265625,-36.62109375,-124.0234375
-50.29296875,-34.1796875,-36.1328125,-121.09375
-41.015625,-33.203125,-36.62109375,-118.6523438
-56.15234375,-30.76171875,-36.62109375,-106.4453125
-55.6640625,-26.85546875,-34.1796875,-89.84375
-51.7578125,-23.92578125,-28.80859375,-74.70703125
-50.78125,-23.92578125,-29.296875,-58.59375
-40.0390625,-24.4140625,-28.80859375,-38.0859375
-42.48046875,-27.34375,-27.83203125,-28.80859375
-45.8984375,-24.90234375,-31.25,-23.92578125
-41.9921875,-20.99609375,-27.83203125,-21.484375
-37.59765625,-25.390625,-29.78515625,-20.01953125
-29.296875,-25.87890625,-31.73828125,-6.8359375
-33.203125,-28.80859375,-28.80859375,2.9296875
-47.36328125,-34.1796875,-22.94921875,8.7890625
-47.36328125,-30.76171875,-20.01953125,19.53125
-40.0390625,-25.87890625,-19.04296875,34.66796875
-32.2265625,-26.85546875,-20.5078125,43.9453125
-25.87890625,-27.34375,-25.87890625,30.76171875
-32.71484375,-25.87890625,-30.2734375,17.08984375
-42.96875,-33.69140625,-31.25,13.671875
-43.9453125,-33.69140625,-30.76171875,12.20703125
-29.78515625,-28.3203125,-23.92578125,12.6953125
-26.85546875,-28.80859375,-23.4375,3.90625
-39.0625,-25.87890625,-32.2265625,-16.11328125
-53.7109375,-28.80859375,-35.15625,-32.2265625
-53.7109375,-27.83203125,-31.73828125,-27.83203125
-39.55078125,-24.90234375,-26.3671875,-16.11328125
-40.0390625,-25.87890625,-25.87890625,-21.97265625
-49.8046875,-23.4375,-26.3671875,-32.2265625
-57.6171875,-21.484375,-25.390625,-27.83203125
-54.19921875,-21.97265625,-27.34375,-10.25390625
-45.8984375,-23.4375,-28.80859375,2.44140625
-29.78515625,-22.4609375,-24.90234375,12.6953125
-26.3671875,-22.94921875,-24.90234375,16.6015625
-39.0625,-20.01953125,-26.3671875,15.13671875
-40.52734375,-21.484375,-24.90234375,18.06640625
-32.2265625,-28.80859375,-30.2734375,26.85546875
-20.99609375,-25.87890625,-25.87890625,37.109375
-23.92578125,-24.4140625,-21.484375,31.73828125
-43.9453125,-26.85546875,-29.296875,18.5546875
-49.31640625,-26.3671875,-26.85546875,22.4609375
-36.1328125,-24.4140625,-22.4609375,32.2265625
-29.296875,-23.92578125,-25.390625,25.390625
-31.73828125,-23.4375,-24.90234375,16.11328125
