,0
0,1595601689.783802
1,1595601712.28263
2,1595601764.783781
3,1595601773.784127
4,1595601784.0457878
5,1595601829.796623
6,1595601920.035569
7,1595601981.014463
8,1595602068.765528
9,1595602073.7769642
10,1595602094.266064
11,1595602099.292431
12,1595602104.539169
13,1595602110.302069
14,1595602308.515857
15,1595602501.270147
16,1595602513.495657
17,1595602521.280125
18,1595602549.255651
19,1595602554.505621
20,1595602559.755625
21,1595602564.777819
22,1595602594.492807
23,1595602599.506602
24,1595602604.5169332
25,1595602609.496743
26,1595602614.50623
27,1595602638.6290472
28,1595602643.518096
29,1595602648.7674391
30,1595602653.7321658
31,1595602658.742639
32,1595602788.480433
33,1595602793.501178
34,1595602798.4711611
35,1595602803.251926
36,1595602808.219108
