,0
0,1595882383.4148932
1,1595882386.2157571
2,1595882388.7057312
3,1595882391.20285
4,1595882393.955671
5,1595882396.538372
6,1595882398.810473
7,1595882401.4106612
8,1595882404.009181
9,1595882406.586748
10,1595882408.955678
11,1595882411.441052
12,1595882414.028349
13,1595882416.609484
14,1595882418.975465
15,1595882421.70481
16,1595882424.0043929
17,1595882426.2886882
18,1595882429.476237
19,1595882432.061692
20,1595882445.025354
21,1595882462.504937
22,1595882475.58372
23,1595882500.229992
24,1595882506.983555
25,1595882509.570743
26,1595882511.9941099
27,1595882514.3854
28,1595882516.653711
29,1595882519.2367969
30,1595882521.744819
31,1595882534.489417
32,1595882546.222941
33,1595882557.7437289
34,1595882560.331532
35,1595882562.6001952
36,1595882565.203279
