,0
0,1595860960.009314
1,1595860962.257962
2,1595860965.5417778
3,1595860968.018367
4,1595860970.507864
5,1595860973.0689988
6,1595860975.758913
7,1595860981.758544
8,1595860984.27902
9,1595860986.7688162
10,1595860989.258069
11,1595860992.018903
12,1595860994.507736
13,1595860997.030066
14,1595860999.520681
15,1595861002.006146
16,1595861004.529928
17,1595861007.0203352
18,1595861009.4962728
19,1595861012.496293
20,1595861015.4962099
21,1595861018.495397
22,1595861021.031886
23,1595861023.519115
24,1595861025.786491
25,1595861028.245826
26,1595861031.246436
27,1595861033.792421
28,1595861036.27156
29,1595861038.761914
30,1595861041.2812428
31,1595861043.772099
32,1595861047.010241
33,1595861050.011071
34,1595861052.5313401
35,1595861055.022732
36,1595861057.5086699
37,1595861060.032244
38,1595861062.5223
39,1595861065.0081449
40,1595861067.5326452
41,1595861070.0223181
42,1595861072.2719061
43,1595861074.747561
44,1595861077.2962618
45,1595861079.771877
46,1595861082.246631
47,1595861084.782588
48,1595861087.043797
49,1595861089.523103
50,1595861091.997389
51,1595861094.532845
52,1595861097.034558
53,1595861099.513559
54,1595861102.0333629
55,1595861104.522691
56,1595861106.9981802
57,1595861109.5334988
58,1595861112.022625
59,1595861114.498076
60,1595861117.498359
61,1595861120.269112
62,1595861122.748617
63,1595861125.748954
64,1595861128.2825139
65,1595861130.7691011
66,1595861133.248859
67,1595861135.782294
68,1595861138.258334
69,1595861140.749082
70,1595861143.2800891
71,1595861145.759788
72,1595861148.249801
73,1595861151.520213
74,1595861157.520074
75,1595861160.008998
76,1595861162.4989839
77,1595861165.499504
78,1595861168.034187
79,1595861170.284626
80,1595861172.547033
81,1595861175.024831
82,1595861177.5130482
83,1595861180.0345469
84,1595861182.312802
85,1595861184.774251
86,1595861187.262762
87,1595861189.785669
88,1595861192.2895849
89,1595861195.500532
90,1595861198.035241
91,1595861200.52591
92,1595861203.000414
93,1595861205.534981
94,1595861208.040031
