,0
0,1595860802.655143
1,1595860805.496125
2,1595860808.031998
3,1595860810.506996
4,1595860813.0820549
5,1595860815.656291
6,1595860818.022742
7,1595860820.796949
8,1595860823.284559
9,1595860825.7625558
10,1595860828.2410061
11,1595860830.783454
12,1595860833.148994
13,1595860835.722843
14,1595860838.302447
15,1595860840.761895
16,1595860843.1246731
17,1595860845.389368
18,1595860848.771342
19,1595860851.545909
20,1595860854.296993
21,1595860856.797088
22,1595860859.1747022
23,1595860861.7420568
24,1595860864.297808
25,1595860866.5584
26,1595860869.038551
27,1595860871.512695
28,1595860873.9921868
29,1595860876.265944
30,1595860879.013129
31,1595860881.548224
32,1595860884.26333
33,1595860886.79755
34,1595860889.2770932
35,1595860891.860279
36,1595860894.299262
37,1595860896.785335
38,1595860899.548269
39,1595860901.928257
40,1595860904.797407
41,1595860907.069785
42,1595860909.539947
43,1595860911.920408
44,1595860914.2640152
45,1595860916.731792
46,1595860919.013514
47,1595860921.580159
48,1595860924.01529
49,1595860926.3783538
50,1595860928.6561248
51,1595860931.229582
52,1595860933.478697
53,1595860936.052303
54,1595860938.550289
55,1595860940.9206998
56,1595860943.799453
57,1595860946.073431
58,1595860948.345227
59,1595860950.913174
60,1595860953.1772742
61,1595860956.547947
