,0
0,1595556150.093299
1,1595556152.567511
2,1595556155.568079
3,1595556173.341967
4,1595556176.583909
5,1595556179.569532
6,1595556686.3243341
7,1595556689.790137
8,1595556692.324169
9,1595556695.551546
10,1595556818.0308511
11,1595556820.7915251
12,1595556823.5519
13,1595556827.031019
14,1595556829.7912982
15,1595556832.792189
16,1595556906.5457401
17,1595556910.568086
18,1595556914.317867
19,1595556917.318845
20,1595556997.060716
21,1595556999.8207219
22,1595557002.820776
23,1595557005.82048
