,0
0,1595880603.7707782
1,1595880606.3524249
2,1595880608.559073
3,1595880610.82307
4,1595880613.6458309
5,1595880616.226618
6,1595880618.509983
7,1595880621.6117818
8,1595880626.1116512
9,1595880629.397127
10,1595880631.989144
11,1595880634.184978
12,1595880636.4556742
13,1595880638.659827
14,1595880640.92788
15,1595880643.506963
16,1595880645.701596
17,1595880685.6434062
18,1595880688.2272031
19,1595880690.429837
20,1595880692.700358
21,1595880694.9092429
22,1595880697.118185
23,1595880699.4111822
24,1595880701.994824
25,1595880704.574172
26,1595880706.774255
27,1595880780.6153338
28,1595880783.206507
29,1595880785.41194
30,1595880787.694425
31,1595880790.276055
32,1595880792.8469179
33,1595880795.896239
34,1595880799.365385
35,1595880802.648799
36,1595880805.241035
