,0
0,1595881373.8989692
1,1595881381.1741261
2,1595881497.9648619
3,1595881500.397398
4,1595881620.86556
5,1595881622.896975
6,1595881625.167686
7,1595881627.2007308
8,1595881630.4043798
9,1595881632.639731
10,1595881634.904516
11,1595881636.937079
12,1595881638.96859
13,1595881641.001451
14,1595881643.649594
15,1595881645.913217
16,1595881648.179914
17,1595881650.21201
18,1595881652.2456021
19,1595881657.900804
20,1595881659.934311
21,1595881662.1602309
22,1595881664.425345
23,1595881780.9370492
24,1595881782.970766
25,1595881785.001246
26,1595881787.0333729
27,1595881789.167414
28,1595881791.19727
29,1595881793.8931258
30,1595881795.927168
