,0
0,1595878656.49696
1,1595878659.4809349
2,1595878662.0278242
3,1595878664.491773
4,1595878666.982644
5,1595878669.5315762
6,1595878672.0214772
7,1595878674.481976
8,1595878677.012747
9,1595878679.492907
10,1595878681.7416801
11,1595878684.231391
12,1595878686.751646
13,1595878689.241104
14,1595879200.496292
15,1595879202.746391
16,1595879205.236038
17,1595879207.710519
18,1595879210.24603
19,1595879212.496507
20,1595879214.7461681
21,1595879216.996377
22,1595879219.486377
23,1595879223.9862778
24,1595879226.018131
25,1595879228.047979
26,1595879230.078988
27,1595879232.112842
28,1595879234.143142
29,1595879236.737311
30,1595879239.017432
31,1595879241.0489202
32,1595879243.079545
33,1595879245.110501
34,1595879247.1416802
35,1595879249.1739311
36,1595879251.2062788
37,1595879253.23746
38,1595879255.269908
39,1595879257.30366
40,1595879259.336642
41,1595879261.3668191
42,1595879543.238503
43,1595879546.2213829
44,1595879548.47137
45,1595879550.722233
46,1595879553.1972039
47,1595879555.973362
48,1595879558.003438
49,1595879560.470979
50,1595879658.734401
51,1595879660.975144
52,1595879663.450397
53,1595879665.713977
54,1595879667.7436118
55,1595879669.974648
56,1595879672.2236102
57,1595879699.574772
58,1595879701.700348
59,1595879703.950242
60,1595879706.710667
61,1595879709.4371421
62,1595879711.686657
63,1595879713.717846
64,1595879715.751391
65,1595879717.9912362
66,1595879720.2116768
67,1595879722.241726
68,1595879724.426819
69,1595879726.4599922
70,1595879729.9609559
71,1595879732.451652
72,1595879881.2062972
73,1595879883.414575
74,1595879886.4146812
