,0
0,1595878531.3876328
1,1595878534.2201788
2,1595878642.987214
3,1595878645.585077
4,1595878647.997998
5,1595878650.4880698
6,1595878728.997937
7,1595878766.4855502
8,1595878771.9759738
9,1595878777.225413
10,1595878790.724875
11,1595878793.305741
12,1595878795.73646
13,1595878798.736245
14,1595878814.749002
15,1595878932.044512
16,1595878934.635807
17,1595878936.8441448
18,1595878939.1256351
19,1595878941.7254982
20,1595878944.299281
21,1595878946.5030038
22,1595878948.775158
23,1595878951.350859
24,1595878953.61611
25,1595878956.989374
26,1595878959.555458
27,1595878961.8137002
28,1595878964.265287
29,1595878967.249279
30,1595879016.3356512
31,1595879018.5526242
32,1595879020.840839
33,1595879023.4306712
34,1595879026.024418
35,1595879140.9673688
36,1595879143.542767
37,1595879145.810668
38,1595879148.467214
39,1595879151.2414389
40,1595879154.4676092
41,1595879157.050496
42,1595879159.3192792
43,1595879161.896696
44,1595879164.739616
45,1595879167.9846451
46,1595879170.5655959
47,1595879173.216728
48,1595879399.786038
49,1595879651.646546
50,1595879653.92595
51,1595879656.490861
52,1595879674.2620249
53,1595879677.7071
54,1595879682.555455
55,1595879685.447176
56,1595879689.979341
57,1595879868.96178
58,1595879871.5484521
59,1595879873.757195
60,1595879876.0446908
61,1595879878.627792
62,1595879888.452492
63,1595879891.0447402
64,1595879893.250263
65,1595879896.171138
66,1595879997.524118
67,1595879999.7264378
68,1595880001.986861
69,1595880004.198765
70,1595880006.722657
71,1595880009.0302489
72,1595880011.3080928
73,1595880013.9390569
74,1595880017.224152
75,1595880019.812227
76,1595880022.020951
77,1595880024.310661
78,1595880026.9004931
79,1595880029.505253
80,1595880032.0895581
81,1595880034.66977
82,1595880036.9331892
83,1595880039.5154188
84,1595880042.200002
