,0
0,1595614454.7666078
1,1595614471.11922
2,1595614495.3516228
3,1595614499.373893
4,1595614501.657079
5,1595614503.833236
6,1595614506.034009
7,1595614508.240911
8,1595614510.426548
9,1595614513.1003351
10,1595614515.389072
11,1595614517.5974941
12,1595614520.090719
13,1595614556.086428
14,1595614558.849886
15,1595614575.215026
16,1595614579.7852302
17,1595614602.22458
18,1595614607.076419
19,1595614688.078828
20,1595614690.60889
21,1595614693.101959
22,1595614695.578732
23,1595614698.5807202
24,1595614700.8759758
25,1595614703.363512
26,1595614705.8503292
27,1595614708.035273
28,1595614710.22035
29,1595614738.955627
30,1595614741.1465878
31,1595614743.580127
32,1595614745.772042
33,1595614747.964176
34,1595614750.154231
35,1595614752.345252
36,1595614754.539184
