,0
0,1595882805.763607
1,1595882808.35243
2,1595882810.560012
3,1595882812.839851
4,1595882815.416769
5,1595882817.6101289
6,1595882819.8839521
7,1595882822.4582112
8,1595882824.7879941
9,1595882827.2711859
10,1595882850.70251
11,1595882854.03681
12,1595882856.621187
13,1595882861.763722
14,1595882864.365246
15,1595882883.514312
16,1595882886.11555
17,1595882889.003819
18,1595882891.523721
19,1595882895.0011678
20,1595882897.5767412
21,1595882899.835077
22,1595883020.867861
23,1595883025.7626271
24,1595883030.611844
25,1595883049.247882
26,1595883067.011722
27,1595883085.478186
28,1595883103.0133388
29,1595883121.4791229
30,1595883135.264477
31,1595883146.3418188
32,1595883163.476903
33,1595883177.250138
34,1595883206.514786
35,1595883218.7536829
36,1595883232.036843
37,1595883247.7668638
38,1595883259.051291
39,1595883271.016656
40,1595883285.507313
