,0
0,1595851902.9120698
1,1595851908.162294
2,1595851913.412065
3,1595851918.662903
4,1595851924.1982012
5,1595851929.448122
6,1595851934.937259
7,1595851940.413285
8,1595851947.162625
9,1595851952.1740532
10,1595851958.413685
11,1595851963.663754
12,1595851966.194596
13,1595851969.4241621
14,1595851971.913089
15,1595851974.4343839
16,1595851977.16324
17,1595851979.6839669
18,1595851982.184499
19,1595852339.1558971
20,1595852342.381838
21,1595852344.915752
22,1595852361.897943
23,1595852364.417281
24,1595852544.6316469
25,1595852547.118944
26,1595852550.391538
27,1595852552.881551
28,1595852556.391882
29,1595852559.39029
30,1595852562.391284
31,1595852565.391947
32,1595852568.106451
33,1595852571.106158
34,1595852639.882174
35,1595852642.3732648
36,1595852645.13417
37,1595852648.13391
38,1595852650.893525
39,1595852653.622396
40,1595852656.384586
41,1595852659.144523
42,1595852662.159126
43,1595852664.6340978
44,1595852667.6339881
45,1595852671.1433768
46,1595852674.383627
47,1595852677.144616
48,1595852679.859498
49,1595852683.145157
50,1595852686.144089
51,1595852688.632438
52,1595852690.882473
53,1595852694.109822
54,1595852697.394877
55,1595852700.633614
56,1595852703.395284
57,1595852706.874053
58,1595852709.109299
59,1595852711.870044
60,1595852714.6449459
61,1595852718.12545
62,1595852721.859757
63,1595852726.6446779
64,1595852729.3612192
