,0
0,1595358766.507652
1,1595358768.7587981
2,1595358770.996831
3,1595358773.233367
4,1595358775.471175
5,1595358777.716009
6,1595358780.058177
7,1595358782.294327
8,1595358784.8437812
9,1595358787.319842
10,1595358789.503714
11,1595358791.750871
12,1595358794.09846
13,1595358796.345035
14,1595358798.601363
15,1595358800.843044
16,1595358804.058761
17,1595358806.3126159
18,1595358808.556256
19,1595358810.798524
20,1595358813.581886
21,1595358816.059249
22,1595358818.302289
23,1595358821.323809
24,1595358824.098785
25,1595358826.874433
26,1595358829.117733
27,1595358831.570841
28,1595358833.8092449
29,1595358836.048766
30,1595358838.2908218
31,1595358840.5387678
32,1595358842.786304
33,1595358845.030725
34,1595358847.27454
35,1595358849.520319
36,1595358851.834789
37,1595358854.321054
38,1595358856.570938
39,1595358859.586244
40,1595358861.832791
41,1595358864.083271
42,1595358866.3232698
43,1595358868.5731351
44,1595358870.8120441
45,1595358873.056772
46,1595358875.3003662
47,1595358877.548308
