,0,1,2,3,Timestamp
0,54.6875,-32.2265625,-51.26953125,-859.86328125,1595301269.071449
1,-30.2734375,-31.25,-51.26953125,130.859375,1595301269.0753553
2,-103.515625,-35.64453125,-48.828125,-1000.0,1595301269.0792615
3,-80.078125,-34.1796875,-47.36328125,-952.63671875,1595301269.0831678
4,20.01953125,-38.0859375,-48.33984375,156.73828125,1595301269.087074
5,39.0625,-54.19921875,-59.08203125,-836.42578125,1595301269.0909803
6,-48.33984375,-51.7578125,-55.17578125,302.24609375,1595301269.0948865
7,-116.2109375,-34.66796875,-43.9453125,-953.125,1595301269.0987928
8,-82.03125,-23.4375,-47.36328125,-1000.0,1595301269.102699
9,2.9296875,-24.4140625,-49.31640625,26.85546875,1595301269.1066053
10,29.296875,-25.390625,-48.33984375,-846.19140625,1595301269.1105115
11,-15.625,-29.296875,-44.43359375,396.97265625,1595301269.1144178
12,-87.40234375,-42.96875,-46.38671875,-856.4453125,1595301269.118324
13,-82.51953125,-44.921875,-55.6640625,-1000.0,1595301269.1222303
14,2.44140625,-42.48046875,-55.6640625,-140.13671875,1595301269.1261365
15,74.21875,-36.62109375,-48.828125,-901.3671875,1595301269.1300428
16,30.76171875,-28.3203125,-46.38671875,582.51953125,1595301269.133949
17,-72.265625,-27.34375,-51.7578125,-662.109375,1595301269.1378553
18,-75.68359375,-28.3203125,-60.05859375,-1000.0,1595301269.1417615
19,6.8359375,-28.80859375,-53.22265625,-250.48828125,1595301269.1456678
20,62.01171875,-21.484375,-45.8984375,-974.12109375,1595301269.149574
21,24.90234375,-27.34375,-44.43359375,779.78515625,1595301269.1534803
22,-49.8046875,-37.109375,-46.38671875,-437.01171875,1595301269.1573865
23,-67.87109375,-42.96875,-45.41015625,-1000.0,1595301269.1612928
24,-9.765625,-52.734375,-42.96875,-332.03125,1595301269.165199
25,53.7109375,-38.57421875,-43.45703125,950.1953125,1595301269.1691053
26,39.55078125,-25.390625,-36.62109375,920.8984375,1595301269.1730115
27,-45.8984375,-32.2265625,-39.55078125,-228.515625,1595301269.1769178
28,-88.37890625,-34.66796875,-39.0625,-1000.0,1595301269.180824
29,-17.08984375,-34.1796875,-37.59765625,-440.4296875,1595301269.1847303
30,59.08203125,-36.62109375,-52.24609375,846.19140625,1595301269.1886365
31,44.921875,-37.109375,-52.24609375,-989.74609375,1595301269.1925428
32,-41.015625,-36.1328125,-40.52734375,-105.46875,1595301269.196449
33,-88.37890625,-38.0859375,-34.1796875,-1000.0,1595301269.2003553
34,-17.578125,-36.1328125,-36.62109375,-584.9609375,1595301269.2042615
35,63.96484375,-40.0390625,-43.45703125,679.6875,1595301269.2081678
36,42.48046875,-43.45703125,-38.0859375,-906.25,1595301269.212074
37,-61.5234375,-45.8984375,-30.2734375,50.29296875,1595301269.2159803
38,-106.93359375,-32.71484375,-32.71484375,-1000.0,1595301269.2198865
39,-54.19921875,-16.6015625,-38.0859375,-733.88671875,1595301269.2237928
40,28.80859375,-24.90234375,-43.45703125,494.140625,1595301269.227699
41,43.9453125,-34.1796875,-41.9921875,-853.02734375,1595301269.2316053
42,-13.671875,-30.2734375,-32.2265625,172.8515625,1595301269.2355115
43,-84.9609375,-30.76171875,-29.78515625,-1000.0,1595301269.2394178
44,-76.66015625,-39.0625,-35.15625,-811.03515625,1595301269.243324
45,24.90234375,-37.109375,-30.2734375,358.88671875,1595301269.2472303
46,47.8515625,-39.55078125,-17.578125,-859.375,1595301269.2511365
47,-27.83203125,-42.48046875,-23.4375,365.72265625,1595301269.2550428
48,-109.86328125,-41.50390625,-32.2265625,-919.921875,1595301269.258949
49,-95.703125,-38.0859375,-30.2734375,-977.05078125,1595301269.2628553
50,17.08984375,-36.62109375,-31.73828125,171.38671875,1595301269.2667615
51,51.7578125,-41.015625,-30.76171875,-870.1171875,1595301269.2706678
52,-32.71484375,-37.59765625,-30.2734375,528.3203125,1595301269.274574
53,-109.375,-37.109375,-30.76171875,-747.0703125,1595301269.2784803
54,-98.14453125,-40.0390625,-32.71484375,-1000.0,1595301269.2823865
55,-17.578125,-38.57421875,-38.57421875,32.71484375,1595301269.2862928
